Flight No,Origin,Destination,Airline,Equipment,Type,o_iata,d_iata
2C622,Paris,Mumbai,CMA CGM Air Cargo,A332,I,CDG,BOM
2C622,Mumbai,Guangzhou,CMA CGM Air Cargo,A332,I,BOM,CAN
3L111,Abu Dhabi,Ahmedabad,Air Arabia,A320,I,AUH,AMD
3L112,Ahmedabad,Abu Dhabi,Air Arabia,A320,I,AMD,AUH
3L125,Abu Dhabi,Cochin,Air Arabia,A320,I,AUH,COK
3L126,Cochin,Abu Dhabi,Air Arabia,A320,I,COK,AUH
3L127,Abu Dhabi,Cochin,Air Arabia,A320,I,AUH,COK
3L128,Cochin,Abu Dhabi,Air Arabia,A320,I,COK,AUH
3L141,Abu Dhabi,Chennai,Air Arabia,A320,I,AUH,MAA
3L142,Chennai,Abu Dhabi,Air Arabia,A320,I,MAA,AUH
3L143,Abu Dhabi,Chennai,Air Arabia,A320,I,AUH,MAA
3L144,Chennai,Abu Dhabi,Air Arabia,A320,I,MAA,AUH
3S531,Bengaluru,Leipzig,DHL,B77L,I,BLR,LEJ
3S531,Bangkok,Bengaluru,DHL,B77L,I,BKK,BLR
3S593,Hong Kong,Delhi,AeroLogic,B77L,I,HKG,DEL
3S593,Delhi,Leipzig,AeroLogic,B77L,I,DEL,LEJ
3S614,Frankfurt,Delhi,AeroLogic,B77L,I,FRA,DEL
3S615,Delhi,Frankfurt,AeroLogic,B77L,I,DEL,FRA
3S622,Frankfurt,Mumbai,DHL,B77L,I,FRA,BOM
3S623,Mumbai,Frankfurt,DHL,B77L,I,BOM,FRA
3U3701,Xi'an,Delhi,Sichuan Airlines,33X,I,XIY,DEL
3U3709,Chengdu,Mumbai,Sichuan Airlines,33X,I,CTU,BOM
3U3809,Chengdu,Chennai,Sichuan Airlines,33X,I,CTU,MAA
3U9641,Chengdu,Chennai,Sichuan Airlines,A333,I,TFU,MAA
3U9645,Chengdu,Mumbai,Sichuan Airlines,33F,I,TFU,BOM
3U9646,Mumbai,Chengdu,Sichuan Airlines,A333,I,BOM,TFU
3U9656,Delhi,Chengdu,Sichuan Airlines,33F,I,DEL,TFU
5X15,Delhi,Cologne,UPS,B748,I,DEL,CGN
5X15,Bangkok,Delhi,UPS,B748,I,BKK,DEL
5X9,Shenzhen,Bengaluru,UPS,B748,I,SZX,BLR
5X9,Bengaluru,Cologne,UPS,B748,I,BLR,CGN
5Y8139,Hong Kong,Delhi,Atlas Air,B744,I,HKG,DEL
5Y8140,Delhi,Hong Kong,Atlas Air,B744,I,DEL,HKG
6E1001,Chennai,Singapore,IndiGo,A320,I,MAA,SIN
6E1002,Singapore,Chennai,IndiGo,A320,I,SIN,MAA
6E1003,Chennai,Singapore,IndiGo,A21N,I,MAA,SIN
6E1004,Singapore,Chennai,IndiGo,A21N,I,SIN,MAA
6E1005,Bengaluru,Singapore,IndiGo,A21N,I,BLR,SIN
6E1006,Singapore,Bengaluru,IndiGo,A21N,I,SIN,BLR
6E1011,Mumbai,Singapore,IndiGo,A21N,I,BOM,SIN
6E1012,Singapore,Mumbai,IndiGo,A21N,I,SIN,BOM
6E1013,Delhi,Singapore,IndiGo,A21N,I,DEL,SIN
6E1014,Singapore,Delhi,IndiGo,A21N,I,SIN,DEL
6E1015,Kolkata,Singapore,IndiGo,A21N,I,CCU,SIN
6E1016,Singapore,Kolkata,IndiGo,A21N,I,SIN,CCU
6.00E+102,Mumbai,Delhi,IndiGo,A21N,D,BOM,DEL
6E1027,Hyderabad,Singapore,IndiGo,A21N,I,HYD,SIN
6E1028,Singapore,Hyderabad,IndiGo,A21N,I,SIN,HYD
6.00E+103,Pune,Hyderabad,IndiGo,A20N,D,PNQ,HYD
6E1031,Chennai,Kuala Lumpur,IndiGo,A20N,I,MAA,KUL
6E1032,Kuala Lumpur,Chennai,IndiGo,A20N,I,KUL,MAA
6.00E+105,Bengaluru,Pune,IndiGo,A20N,D,BLR,PNQ
6E1051,Mumbai,Bangkok,IndiGo,A20N,I,BOM,BKK
6E1052,Bangkok,Mumbai,IndiGo,A20N,I,BKK,BOM
6E1053,Delhi,Bangkok,IndiGo,A20N,I,DEL,BKK
6E1054,Bangkok,Delhi,IndiGo,A20N,I,BKK,DEL
6E1055,Bengaluru,Bangkok,IndiGo,A20N,I,BLR,BKK
6E1056,Bangkok,Bengaluru,IndiGo,A20N,I,BKK,BLR
6E1057,Kolkata,Bangkok,IndiGo,A320,I,CCU,BKK
6E1058,Bangkok,Kolkata,IndiGo,A20N,I,BKK,CCU
6E1067,Hyderabad,Bangkok,IndiGo,A20N,I,HYD,BKK
6E1068,Bangkok,Hyderabad,IndiGo,A20N,I,BKK,HYD
6.00E+107,Pune,Bengaluru,IndiGo,A20N,D,PNQ,BLR
6E1071,Mumbai,Phuket,IndiGo,A20N,I,BOM,HKT
6E1072,Phuket,Mumbai,IndiGo,A20N,I,HKT,BOM
6E1073,Delhi,Phuket,IndiGo,A20N,I,DEL,HKT
6E1074,Phuket,Delhi,IndiGo,A20N,I,HKT,DEL
6E1077,Bengaluru,Phuket,IndiGo,A20N,I,BLR,HKT
6E1078,Phuket,Bengaluru,IndiGo,A20N,I,HKT,BLR
6.00E+108,Hyderabad,Chandigarh,IndiGo,A21N,D,HYD,IXC
6.00E+109,Bengaluru,Mangalore,IndiGo,A21N,D,BLR,IXE
6.00E+11,Delhi,Istanbul,IndiGo,B77W,I,DEL,IST
6E1103,Delhi,Dhaka,IndiGo,A21N,I,DEL,DAC
6E1104,Dhaka,Delhi,IndiGo,A21N,I,DAC,DEL
6E1105,Kolkata,Dhaka,IndiGo,A21N,I,CCU,DAC
6E1106,Dhaka,Kolkata,IndiGo,A21N,I,DAC,CCU
6E1113,Chennai,Dhaka,IndiGo,A20N,I,MAA,DAC
6E1114,Dhaka,Chennai,IndiGo,A20N,I,DAC,MAA
6E1115,Mumbai,Dhaka,IndiGo,A20N,I,BOM,DAC
6E1116,Dhaka,Mumbai,IndiGo,A20N,I,DAC,BOM
6.00E+112,Chandigarh,Ahmedabad,IndiGo,A20N,D,IXC,AMD
6E1127,Bengaluru,Male,IndiGo,A21N,I,BLR,MLE
6E1128,Male,Bengaluru,IndiGo,A21N,I,MLE,BLR
6.00E+113,Bengaluru,Cochin,IndiGo,A320,D,BLR,COK
6E1131,Mumbai,Male,IndiGo,A20N,I,BOM,MLE
6E1132,Male,Mumbai,IndiGo,A20N,I,MLE,BOM
6E1133,Cochin,Male,IndiGo,A20N,I,COK,MLE
6E1134,Male,Cochin,IndiGo,A20N,I,MLE,COK
6.00E+114,Kolkata,Jaipur,IndiGo,A320,D,CCU,JAI
6.00E+115,Kolkata,Mumbai,IndiGo,A20N,D,CCU,BOM
6E1151,Delhi,Kathmandu,IndiGo,A20N,I,DEL,KTM
6E1152,Kathmandu,Delhi,IndiGo,A20N,I,KTM,DEL
6E1153,Delhi,Kathmandu,IndiGo,A20N,I,DEL,KTM
6E1154,Kathmandu,Delhi,IndiGo,A20N,I,KTM,DEL
6E1155,Delhi,Kathmandu,IndiGo,A20N,I,DEL,KTM
6E1156,Kathmandu,Delhi,IndiGo,A20N,I,KTM,DEL
6E1157,Mumbai,Kathmandu,IndiGo,A20N,I,BOM,KTM
6E1158,Kathmandu,Mumbai,IndiGo,A20N,I,KTM,BOM
6.00E+116,Bengaluru,Pune,IndiGo,A20N,D,BLR,PNQ
6E1167,Bengaluru,Colombo,IndiGo,A21N,I,BLR,CMB
6E1168,Colombo,Bengaluru,IndiGo,A21N,I,CMB,BLR
6.00E+117,Goa,Hyderabad,IndiGo,A20N,D,GOI,HYD
6E1171,Chennai,Colombo,IndiGo,A20N,I,MAA,CMB
6E1172,Colombo,Chennai,IndiGo,A20N,I,CMB,MAA
6E1175,Chennai,Colombo,IndiGo,A20N,I,MAA,CMB
6E1176,Colombo,Chennai,IndiGo,A20N,I,CMB,MAA
6.00E+118,Lucknow,Pune,IndiGo,A20N,D,LKO,PNQ
6E1181,Hyderabad,Colombo,IndiGo,A21N,I,HYD,CMB
6E1182,Colombo,Hyderabad,IndiGo,A21N,I,CMB,HYD
6E1185,Mumbai,Colombo,IndiGo,A20N,I,BOM,CMB
6E1186,Colombo,Mumbai,IndiGo,A20N,I,CMB,BOM
6.00E+119,Guwahati,Chennai,IndiGo,A320,D,GAU,MAA
6.00E+12,Istanbul,Delhi,IndiGo,B77W,I,IST,DEL
6E1201,Mumbai,Bahrain,IndiGo,A20N,I,BOM,BAH
6E1202,Bahrain,Mumbai,IndiGo,A20N,I,BAH,BOM
6.00E+121,Hyderabad,Goa,IndiGo,A20N,D,HYD,GOI
6.00E+122,Nagpur,Delhi,IndiGo,A20N,D,NAG,DEL
6.00E+123,Delhi,Leh,IndiGo,A20N,D,DEL,IXL
6E1231,Delhi,Kuwait City,IndiGo,A20N,I,DEL,KWI
6E1232,Kuwait City,Delhi,IndiGo,A20N,I,KWI,DEL
6E1233,Hyderabad,Kuwait City,IndiGo,A20N,I,HYD,KWI
6E1236,Kuwait City,Mumbai,IndiGo,A20N,I,KWI,BOM
6E1237,Cochin,Kuwait City,IndiGo,A20N,I,COK,KWI
6E1238,Kuwait City,Cochin,IndiGo,A20N,I,KWI,COK
6E1241,Chennai,Kuwait City,IndiGo,A20N,I,MAA,KWI
6E1242,Kuwait City,Chennai,IndiGo,A20N,I,KWI,MAA
6E1243,Ahmedabad,Kuwait City,IndiGo,A20N,I,AMD,KWI
6E1244,Kuwait City,Ahmedabad,IndiGo,A20N,I,KWI,AMD
6.00E+125,Bengaluru,Jharsuguda,IndiGo,A320,D,BLR,JRG
6.00E+126,Patna,Pune,IndiGo,A20N,D,PAT,PNQ
6E1267,Mumbai,Muscat,IndiGo,A20N,I,BOM,MCT
6E1268,Muscat,Mumbai,IndiGo,A20N,I,MCT,BOM
6E1271,Cochin,Muscat,IndiGo,A20N,I,COK,MCT
6E1272,Muscat,Cochin,IndiGo,A20N,I,MCT,COK
6E1273,Hyderabad,Muscat,IndiGo,A20N,I,HYD,MCT
6E1274,Muscat,Hyderabad,IndiGo,A20N,I,MCT,HYD
6.00E+128,Jharsuguda,Bengaluru,IndiGo,A320,D,JRG,BLR
6.00E+129,Delhi,Ahmedabad,IndiGo,A320,D,DEL,AMD
6E1301,Bengaluru,Doha,IndiGo,A20N,I,BLR,DOH
6E1302,Doha,Bengaluru,IndiGo,A20N,I,DOH,BLR
6E1303,Mumbai,Doha,IndiGo,A21N,I,BOM,DOH
6E1306,Doha,Mumbai,IndiGo,A21N,I,DOH,BOM
6E1307,Delhi,Doha,IndiGo,A20N,I,DEL,DOH
6E1308,Doha,Delhi,IndiGo,A20N,I,DOH,DEL
6.00E+131,Indore,Delhi,IndiGo,A320,D,IDR,DEL
6E1313,Hyderabad,Doha,IndiGo,A20N,I,HYD,DOH
6E1314,Doha,Hyderabad,IndiGo,A20N,I,DOH,HYD
6E1315,Hyderabad,Doha,IndiGo,A20N,I,HYD,DOH
6E1316,Doha,Hyderabad,IndiGo,A20N,I,DOH,HYD
6E1317,Hyderabad,Doha,IndiGo,A320,I,HYD,DOH
6E1318,Doha,Hyderabad,IndiGo,A20N,I,DOH,HYD
6E1321,Chennai,Doha,IndiGo,A20N,I,MAA,DOH
6E1322,Doha,Chennai,IndiGo,A320,I,DOH,MAA
6E1323,Cochin,Doha,IndiGo,A21N,I,COK,DOH
6E1324,Doha,Cochin,IndiGo,A21N,I,DOH,COK
6.00E+133,Pune,Jodhpur,IndiGo,A320,D,PNQ,JDH
6.00E+134,Hyderabad,Ahmedabad,IndiGo,A20N,D,HYD,AMD
6E1341,Mumbai,Doha,IndiGo,A20N,I,BOM,DOH
6E1342,Doha,Mumbai,IndiGo,A20N,I,DOH,BOM
6E1345,Delhi,Doha,IndiGo,A20N,I,DEL,DOH
6E1346,Doha,Delhi,IndiGo,A20N,I,DOH,DEL
6.00E+135,Kolkata,Pune,IndiGo,A320,D,CCU,PNQ
6.00E+135,Pune,Vadodara,IndiGo,A320,D,PNQ,BDQ
6.00E+136,Mumbai,Chennai,IndiGo,A21N,D,BOM,MAA
6.00E+137,Pune,Bengaluru,IndiGo,A20N,D,PNQ,BLR
6.00E+138,Mumbai,Kolkata,IndiGo,A21N,D,BOM,CCU
6.00E+139,Kolkata,Raipur,IndiGo,A320,D,CCU,RPR
6E1401,Mumbai,Abu Dhabi,IndiGo,A20N,I,BOM,AUH
6E1402,Abu Dhabi,Mumbai,IndiGo,A20N,I,AUH,BOM
6E1403,Cochin,Abu Dhabi,IndiGo,A20N,I,COK,AUH
6E1404,Abu Dhabi,Cochin,IndiGo,A20N,I,AUH,COK
6E1405,Delhi,Abu Dhabi,IndiGo,A20N,I,DEL,AUH
6E1406,Abu Dhabi,Delhi,IndiGo,A20N,I,AUH,DEL
6E1407,Hyderabad,Abu Dhabi,IndiGo,A20N,I,HYD,AUH
6E1408,Abu Dhabi,Hyderabad,IndiGo,A20N,I,AUH,HYD
6.00E+141,Bhubaneswar,Chennai,IndiGo,A20N,D,BBI,MAA
6E1411,Chennai,Abu Dhabi,IndiGo,A20N,I,MAA,AUH
6E1412,Abu Dhabi,Chennai,IndiGo,A20N,I,AUH,MAA
6.00E+142,Lucknow,Ahmedabad,IndiGo,A320,D,LKO,AMD
6E1421,Hyderabad,Sharjah,IndiGo,A20N,I,HYD,SHJ
6E1422,Sharjah,Hyderabad,IndiGo,A20N,I,SHJ,HYD
6.00E+143,Chennai,Bhubaneswar,IndiGo,A20N,D,MAA,BBI
6E1431,Ahmedabad,Abu Dhabi,IndiGo,A20N,I,AMD,AUH
6E1432,Abu Dhabi,Ahmedabad,IndiGo,A20N,I,AUH,AMD
6.00E+144,Varanasi,Bengaluru,IndiGo,A20N,D,VNS,BLR
6.00E+144,Bengaluru,Cochin,IndiGo,A20N,D,BLR,COK
6.00E+145,Bhubaneswar,Chennai,IndiGo,A20N,D,BBI,MAA
6E1451,Mumbai,Dubai,IndiGo,A20N,I,BOM,DXB
6E1452,Dubai,Mumbai,IndiGo,A20N,I,DXB,BOM
6E1453,Mumbai,Dubai,IndiGo,A20N,I,BOM,DXB
6E1454,Dubai,Mumbai,IndiGo,32N,I,DXB,BOM
6E1455,Mumbai,Dubai,IndiGo,A20N,I,BOM,DXB
6E1456,Dubai,Mumbai,IndiGo,A20N,I,DXB,BOM
6E1461,Delhi,Dubai,IndiGo,A20N,I,DEL,DXB
6E1462,Dubai,Delhi,IndiGo,32N,I,DXB,DEL
6E1463,Delhi,Dubai,IndiGo,A20N,I,DEL,DXB
6E1464,Dubai,Delhi,IndiGo,A20N,I,DXB,DEL
6E1465,Hyderabad,Dubai,IndiGo,A20N,I,HYD,DXB
6E1466,Dubai,Hyderabad,IndiGo,A20N,I,DXB,HYD
6.00E+147,Indore,Pune,IndiGo,A20N,D,IDR,PNQ
6E1471,Chennai,Dubai,IndiGo,A20N,I,MAA,DXB
6E1472,Dubai,Ahmedabad,IndiGo,A20N,I,DXB,AMD
6E1475,Cochin,Dubai,IndiGo,A20N,I,COK,DXB
6E1476,Dubai,Cochin,IndiGo,A20N,I,DXB,COK
6E1477,Ahmedabad,Dubai,IndiGo,A20N,I,AMD,DXB
6E1478,Dubai,Ahmedabad,IndiGo,A20N,I,DXB,AMD
6E1483,Hyderabad,Dubai,IndiGo,32N,I,HYD,DXB
6E1484,Dubai,Hyderabad,IndiGo,A20N,I,DXB,HYD
6E1485,Bengaluru,Dubai,IndiGo,A20N,I,BLR,DXB
6E1486,Dubai,Bengaluru,IndiGo,A20N,I,DXB,BLR
6.00E+149,Hyderabad,Siliguri,IndiGo,A20N,D,HYD,IXB
6E1491,Mumbai,Ra'sal-Khaymah,IndiGo,A20N,I,BOM,RKT
6E1492,Ra'sal-Khaymah,Mumbai,IndiGo,A20N,I,RKT,BOM
6E1496,Ra'sal-Khaymah,Hyderabad,IndiGo,A20N,I,RKT,HYD
6.00E+151,Hyderabad,Bengaluru,IndiGo,A20N,D,HYD,BLR
6E1511,Mumbai,Dubai,IndiGo,A20N,I,BOM,DXB
6E1512,Dubai,Mumbai,IndiGo,32N,I,DXB,BOM
6.00E+152,Bengaluru,Kozhikode,IndiGo,A20N,D,BLR,CCJ
6.00E+153,Kozhikode,Bengaluru,IndiGo,A20N,D,CCJ,BLR
6.00E+154,Delhi,Pune,IndiGo,A20N,D,DEL,PNQ
6.00E+156,Chennai,Cochin,IndiGo,A20N,D,MAA,COK
6.00E+157,Dibrugarh,Delhi,IndiGo,A20N,D,DIB,DEL
6.00E+159,Pune,Chennai,IndiGo,A20N,D,PNQ,MAA
6E1601,Mumbai,Jakarta,IndiGo,A20N,I,BOM,CGK
6E1602,Jakarta,Mumbai,IndiGo,A20N,I,CGK,BOM
6E1605,Bengaluru,Denpasar,IndiGo,A20N,I,BLR,DPS
6E1606,Denpasar,Bengaluru,IndiGo,A20N,I,DPS,BLR
6.00E+162,Goa,Kolkata,IndiGo,A20N,D,GOI,CCU
6E1631,Kolkata,Hanoi,IndiGo,A20N,I,CCU,HAN
6E1632,Hanoi,Kolkata,IndiGo,A20N,I,HAN,CCU
6.00E+164,Mangalore,Mumbai,IndiGo,A21N,D,IXE,BOM
6E1641,Kolkata,Ho Chi Minh City,IndiGo,A20N,I,CCU,SGN
6E1642,Ho Chi Minh City,Kolkata,IndiGo,A20N,I,SGN,CCU
6.00E+167,Hyderabad,Amritsar,IndiGo,A20N,D,HYD,ATQ
6.00E+168,Amritsar,Hyderabad,IndiGo,A20N,D,ATQ,HYD
6.00E+169,Chennai,Cochin,IndiGo,A20N,D,MAA,COK
6.00E+17,Mumbai,Istanbul,IndiGo,B77W,I,BOM,IST
6E1707,Delhi,Hong Kong,IndiGo,A21N,I,DEL,HKG
6E1708,Hong Kong,Delhi,IndiGo,A21N,I,HKG,DEL
6.00E+171,Cochin,Chennai,IndiGo,A20N,D,COK,MAA
6.00E+172,Bengaluru,Kolkata,IndiGo,A21N,D,BLR,CCU
6.00E+173,Delhi,Bengaluru,IndiGo,A21N,D,DEL,BLR
6.00E+175,Bengaluru,Delhi,IndiGo,A21N,D,BLR,DEL
6.00E+176,Delhi,Bengaluru,IndiGo,A21N,D,DEL,BLR
6.00E+177,Pune,Visakhapatnam,IndiGo,A20N,D,PNQ,VTZ
6.00E+178,Patna,Ahmedabad,IndiGo,A20N,D,PAT,AMD
6.00E+18,Istanbul,Mumbai,IndiGo,B77W,I,IST,BOM
6E1802,Almaty,Delhi,IndiGo,A20N,I,ALA,DEL
6E1803,Delhi,Baku,IndiGo,A20N,I,DEL,GYD
6E1804,Baku,Delhi,IndiGo,A20N,I,GYD,DEL
6E1805,Delhi,Tashkent,IndiGo,A20N,I,DEL,TAS
6E1808,Tbilisi,Delhi,IndiGo,A20N,I,TBS,DEL
6.00E+182,Cochin,Chennai,IndiGo,A20N,D,COK,MAA
6.00E+183,Chennai,Pune,IndiGo,A320,D,MAA,PNQ
6.00E+184,Delhi,Ahmedabad,SmartLynx,A320,D,DEL,AMD
6E1853,Mumbai,Nairobi,IndiGo,A20N,I,BOM,NBO
6E1854,Nairobi,Mumbai,IndiGo,A20N,I,NBO,BOM
6.00E+187,Guwahati,Hyderabad,IndiGo,A21N,D,GAU,HYD
6.00E+189,Chennai,Bengaluru,IndiGo,A20N,D,MAA,BLR
6E1911,Mumbai,Phuket,IndiGo,A20N,I,BOM,HKT
6E1912,Phuket,Mumbai,IndiGo,A20N,I,HKT,BOM
6.00E+193,Chennai,Hyderabad,IndiGo,A320,D,MAA,HYD
6.00E+194,Bengaluru,Goa,IndiGo,A21N,D,BLR,GOI
6.00E+196,Cochin,Bengaluru,IndiGo,A20N,D,COK,BLR
6.00E+196,Bengaluru,Lucknow,IndiGo,A20N,D,BLR,LKO
6E2002,Raipur,Chennai,IndiGo,A20N,D,RPR,MAA
6E2003,Delhi,Leh,IndiGo,A20N,D,DEL,IXL
6E2004,Leh,Delhi,IndiGo,A20N,D,IXL,DEL
6E2005,Hyderabad,Tirupati,IndiGo,A20N,D,HYD,TIR
6E2006,Delhi,Leh,IndiGo,A20N,D,DEL,IXL
6E2007,Leh,Delhi,IndiGo,A20N,D,IXL,DEL
6E2008,Guwahati,Delhi,IndiGo,A320,D,GAU,DEL
6E2009,Delhi,Mumbai,IndiGo,A21N,D,DEL,BOM
6.00E+201,Guwahati,Kolkata,IndiGo,A20N,D,GAU,CCU
6.00E+201,Kolkata,Dehradun,IndiGo,A20N,D,CCU,DED
6E2011,Delhi,Guwahati,IndiGo,A21N,D,DEL,GAU
6E2012,Madurai,Mumbai,IndiGo,A21N,D,IXM,BOM
6E2013,Delhi,Ahmedabad,IndiGo,A21N,D,DEL,AMD
6E2014,Amritsar,Delhi,IndiGo,A320,D,ATQ,DEL
6E2015,Leh,Delhi,IndiGo,A20N,D,IXL,DEL
6E2016,Delhi,Amritsar,IndiGo,A320,D,DEL,ATQ
6E2018,Delhi,Dehradun,IndiGo,A20N,D,DEL,DED
6E2019,Indore,Delhi,IndiGo,A21N,D,IDR,DEL
6.00E+202,Nagpur,Pune,IndiGo,A320,D,NAG,PNQ
6E2021,Bengaluru,Delhi,IndiGo,A21N,D,BLR,DEL
6E2022,Delhi,Ranchi,IndiGo,A20N,D,DEL,IXR
6E2023,Delhi,Bhubaneswar,IndiGo,A20N,D,DEL,BBI
6E2026,Lucknow,Delhi,IndiGo,A20N,D,LKO,DEL
6E2028,Delhi,Goa,IndiGo,A21N,D,DEL,GOI
6E2029,Bhopal,Delhi,IndiGo,A21N,D,BHO,DEL
6.00E+203,Delhi,Hyderabad,IndiGo,A21N,D,DEL,HYD
6E2031,Delhi,Dibrugarh,IndiGo,A20N,D,DEL,DIB
6E2032,Ahmedabad,Delhi,IndiGo,A320,D,AMD,DEL
6E2035,Nagpur,Delhi,IndiGo,A20N,D,NAG,DEL
6E2042,Delhi,Jaipur,IndiGo,A20N,D,DEL,JAI
6E2043,Mumbai,Patna,IndiGo,A20N,D,BOM,PAT
6E2044,Delhi,Srinagar,IndiGo,A21N,D,DEL,SXR
6E2045,Delhi,Amritsar,IndiGo,A21N,D,DEL,ATQ
6E2046,Ahmedabad,Mumbai,IndiGo,A20N,D,AMD,BOM
6E2047,Mumbai,Raipur,IndiGo,A21N,D,BOM,RPR
6E2049,Delhi,Leh,IndiGo,A20N,D,DEL,IXL
6E2052,Goa,Delhi,IndiGo,A21N,D,GOI,DEL
6E2056,Hyderabad,Delhi,IndiGo,A21N,D,HYD,DEL
6E2057,Delhi,Kolkata,IndiGo,A21N,D,DEL,CCU
6.00E+206,Goa,Hyderabad,IndiGo,A20N,D,GOI,HYD
6E2061,Guwahati,Delhi,IndiGo,A21N,D,GAU,DEL
6E2062,Delhi,Raipur,IndiGo,A21N,D,DEL,RPR
6E2064,Delhi,Bhubaneswar,IndiGo,A21N,D,DEL,BBI
6E2065,Delhi,Hyderabad,IndiGo,A21N,D,DEL,HYD
6.00E+207,Jaipur,Kolkata,IndiGo,A20N,D,JAI,CCU
6.00E+207,Kolkata,Guwahati,IndiGo,A20N,D,CCU,GAU
6E2072,Dehradun,Delhi,IndiGo,A20N,D,DED,DEL
6E2073,Hyderabad,Tiruchirapalli,IndiGo,A20N,D,HYD,TRZ
6E2074,Patna,Delhi,IndiGo,A20N,D,PAT,DEL
6E2076,Delhi,Ahmedabad,IndiGo,A20N,D,DEL,AMD
6E2078,Surat,Delhi,IndiGo,A20N,D,STV,DEL
6.00E+208,Hyderabad,Visakhapatnam,IndiGo,A20N,D,HYD,VTZ
6E2081,Dimapur,Delhi,IndiGo,A20N,D,DMU,DEL
6E2086,Gorakhpur,Delhi,IndiGo,A320,D,GOP,DEL
6E2087,Delhi,Gorakhpur,IndiGo,A320,D,DEL,GOP
6E2088,Madurai,Delhi,IndiGo,A20N,D,IXM,DEL
6E2089,Delhi,Jabalpur,IndiGo,A20N,D,DEL,JLR
6.00E+209,Ranchi,Chennai,IndiGo,A20N,D,IXR,MAA
6E2091,Goa,Delhi,IndiGo,A21N,D,GOI,DEL
6E2092,Delhi,Raipur,IndiGo,A20N,D,DEL,RPR
6E2094,Delhi,Raipur,IndiGo,A320,D,DEL,RPR
6E2095,Delhi,Guwahati,IndiGo,A21N,D,DEL,GAU
6E2096,Durgapur,Delhi,SmartLynx,A320,D,RDP,DEL
6E2097,Jabalpur,Delhi,IndiGo,A20N,D,JLR,DEL
6E2099,Udaipur,Delhi,IndiGo,A20N,D,UDR,DEL
6E2101,Delhi,Leh,IndiGo,A20N,D,DEL,IXL
6E2102,Goa,Delhi,SmartLynx,A320,D,GOX,DEL
6E2103,Delhi,Bengaluru,IndiGo,A21N,D,DEL,BLR
6E2106,Kolkata,Port Blair,IndiGo,A20N,D,CCU,IXZ
6.00E+211,Cochin,Goa,IndiGo,A320,D,COK,GOI
6.00E+211,Goa,Raipur,IndiGo,A320,D,GOI,RPR
6E2111,Lucknow,Delhi,IndiGo,A320,D,LKO,DEL
6E2113,Delhi,Lucknow,IndiGo,A20N,D,DEL,LKO
6E2114,Delhi,Hubli,IndiGo,A320,D,DEL,HBX
6E2115,Hubli,Delhi,IndiGo,A320,D,HBX,DEL
6E2116,Dehradun,Delhi,IndiGo,A20N,D,DED,DEL
6E2117,Delhi,Gwalior,IndiGo,A20N,D,DEL,GWL
6E2118,Gwalior,Delhi,IndiGo,A20N,D,GWL,DEL
6.00E+212,Kolkata,Guwahati,IndiGo,A21N,D,CCU,GAU
6E2125,Delhi,Srinagar,IndiGo,A20N,D,DEL,SXR
6E2126,Srinagar,Delhi,IndiGo,A20N,D,SXR,DEL
6.00E+213,Guwahati,Kolkata,IndiGo,A21N,D,GAU,CCU
6E2134,Patna,Delhi,IndiGo,A20N,D,PAT,DEL
6E2135,Delhi,Dehradun,IndiGo,A20N,D,DEL,DED
6E2137,Srinagar,Delhi,IndiGo,A320,D,SXR,DEL
6E2137,Delhi,Jammu,IndiGo,A320,D,DEL,IXJ
6E2139,Mumbai,Delhi,IndiGo,A21N,D,BOM,DEL
6.00E+214,Mumbai,Srinagar,IndiGo,A20N,D,BOM,SXR
6E2143,Delhi,Deoghar,IndiGo,A20N,D,DEL,DGH
6.00E+215,Srinagar,Mumbai,IndiGo,A20N,D,SXR,BOM
6E2153,Delhi,Ahmedabad,IndiGo,A20N,D,DEL,AMD
6E2154,Shirdi,Delhi,SmartLynx,A320,D,SAG,DEL
6.00E+216,Visakhapatnam,Hyderabad,IndiGo,A20N,D,VTZ,HYD
6.00E+216,Hyderabad,Ahmedabad,IndiGo,A20N,D,HYD,AMD
6E2164,Goa,Delhi,IndiGo,A320,D,GOI,DEL
6E2165,Jaipur,Delhi,IndiGo,A20N,D,JAI,DEL
6E2166,Chennai,Delhi,IndiGo,A320,D,MAA,DEL
6E2167,Patna,Mumbai,IndiGo,A20N,D,PAT,BOM
6.00E+217,Bengaluru,Visakhapatnam,IndiGo,A21N,D,BLR,VTZ
6E2171,Tiruchirapalli,Hyderabad,IndiGo,A320,D,TRZ,HYD
6E2172,Delhi,Bhopal,IndiGo,A20N,D,DEL,BHO
6E2174,Bengaluru,Delhi,IndiGo,A21N,D,BLR,DEL
6E2176,Jaipur,Delhi,IndiGo,A21N,D,JAI,DEL
6.00E+218,Visakhapatnam,Bengaluru,IndiGo,A21N,D,VTZ,BLR
6E2184,Delhi,Jammu,IndiGo,A21N,D,DEL,IXJ
6E2186,Bengaluru,Delhi,IndiGo,A21N,D,BLR,DEL
6E2187,Delhi,Rajkot,IndiGo,A20N,D,DEL,HSR
6E2189,Bhubaneswar,Mumbai,IndiGo,A20N,D,BBI,BOM
6.00E+219,Delhi,Kolkata,IndiGo,A21N,D,DEL,CCU
6E2191,Raipur,Delhi,IndiGo,A21N,D,RPR,DEL
6E2192,Kanpur,Delhi,IndiGo,A20N,D,KNU,DEL
