Flight No,Origin,Destination,Airline,Equipment,Type,o_iata,d_iata
SL219,Mumbai,Bangkok,Thai Lion Air,B738,I,BOM,DMK
SQ401,Delhi,Singapore,Singapore Airlines,B78X,I,DEL,SIN
SQ402,Singapore,Delhi,Singapore Airlines,B78X,I,SIN,DEL
SQ403,Delhi,Singapore,Singapore Airlines,A388,I,DEL,SIN
SQ406,Singapore,Delhi,Singapore Airlines,A388,I,SIN,DEL
SQ421,Mumbai,Singapore,Singapore Airlines,A359,I,BOM,SIN
SQ422,Singapore,Mumbai,Singapore Airlines,A359,I,SIN,BOM
SQ423,Mumbai,Singapore,Singapore Airlines,A388,I,BOM,SIN
SQ424,Singapore,Mumbai,Singapore Airlines,A388,I,SIN,BOM
SQ426,Singapore,Mumbai,Singapore Airlines,A359,I,SIN,BOM
SQ504,Singapore,Ahmedabad,Singapore Airlines,A359,I,SIN,AMD
SQ505,Ahmedabad,Singapore,Singapore Airlines,A359,I,AMD,SIN
SQ508,Singapore,Bengaluru,Singapore Airlines,A359,I,SIN,BLR
SQ509,Bengaluru,Singapore,Singapore Airlines,A359,I,BLR,SIN
SQ510,Singapore,Bengaluru,Singapore Airlines,A359,I,SIN,BLR
SQ511,Bengaluru,Singapore,Singapore Airlines,A359,I,BLR,SIN
SQ516,Singapore,Kolkata,Singapore Airlines,B38M,I,SIN,CCU
SQ517,Kolkata,Singapore,Singapore Airlines,B38M,I,CCU,SIN
SQ518,Singapore,Hyderabad,Singapore Airlines,B38M,I,SIN,HYD
SQ519,Hyderabad,Singapore,Singapore Airlines,B38M,I,HYD,SIN
SQ522,Singapore,Hyderabad,Singapore Airlines,A359,I,SIN,HYD
SQ523,Hyderabad,Singapore,Singapore Airlines,A359,I,HYD,SIN
SQ524,Singapore,Chennai,Singapore Airlines,B38M,I,SIN,MAA
SQ525,Chennai,Singapore,Singapore Airlines,B38M,I,MAA,SIN
SQ528,Singapore,Chennai,Singapore Airlines,B78X,I,SIN,MAA
SQ529,Chennai,Singapore,Singapore Airlines,B78X,I,MAA,SIN
SQ534,Singapore,Cochin,Singapore Airlines,B38M,I,SIN,COK
SQ535,Cochin,Singapore,Singapore Airlines,B38M,I,COK,SIN
SQ536,Singapore,Cochin,Singapore Airlines,B38M,I,SIN,COK
SQ537,Cochin,Singapore,Singapore Airlines,B38M,I,COK,SIN
SQ7971,Amsterdam,Mumbai,Singapore Airlines,74Y,I,AMS,BOM
SQ7971,Mumbai,Singapore,Singapore Airlines,74Y,I,BOM,SIN
SU232,Moscow,Delhi,Aeroflot,A359,I,SVO,DEL
SU233,Delhi,Moscow,Aeroflot,A359,I,DEL,SVO
SV740,Riyadh,Mumbai,Saudia,A333,I,RUH,BOM
SV741,Mumbai,Riyadh,Saudia,A333,I,BOM,RUH
SV750,Riyadh,Hyderabad,Saudia,A333,I,RUH,HYD
SV751,Hyderabad,Riyadh,Saudia,A333,I,HYD,RUH
SV756,Jeddah,Delhi,Saudia,B77W,I,JED,DEL
SV757,Delhi,Jeddah,Saudia,B77W,I,DEL,JED
